URL,Language,Page Type,Keep/Change,New URL,Canonical,Index Status
https://khaledfouadkhaled.github.io/01-about-prof-khaled.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/01-about-prof-khaled.html,https://khaledfouadkhaled.github.io/01-about-prof-khaled.html,Index
https://khaledfouadkhaled.github.io/02-academic-career-education.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/02-academic-career-education.html,https://khaledfouadkhaled.github.io/02-academic-career-education.html,Index
https://khaledfouadkhaled.github.io/03-research-scientific-expertise.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/03-research-scientific-expertise.html,https://khaledfouadkhaled.github.io/03-research-scientific-expertise.html,Index
https://khaledfouadkhaled.github.io/04-publications.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/04-publications.html,https://khaledfouadkhaled.github.io/04-publications.html,Index
https://khaledfouadkhaled.github.io/05-research-projects.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/05-research-projects.html,https://khaledfouadkhaled.github.io/05-research-projects.html,Index
https://khaledfouadkhaled.github.io/06-research-group.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/06-research-group.html,https://khaledfouadkhaled.github.io/06-research-group.html,Index
https://khaledfouadkhaled.github.io/07-teaching-courses.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/07-teaching-courses.html,https://khaledfouadkhaled.github.io/07-teaching-courses.html,Index
https://khaledfouadkhaled.github.io/08-books-scientific-activity.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/08-books-scientific-activity.html,https://khaledfouadkhaled.github.io/08-books-scientific-activity.html,Index
https://khaledfouadkhaled.github.io/09-awards-achievements.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/09-awards-achievements.html,https://khaledfouadkhaled.github.io/09-awards-achievements.html,Index
https://khaledfouadkhaled.github.io/10-scientific-services-training.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/10-scientific-services-training.html,https://khaledfouadkhaled.github.io/10-scientific-services-training.html,Index
https://khaledfouadkhaled.github.io/academic-tools.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/academic-tools.html,https://khaledfouadkhaled.github.io/academic-tools.html,Index
https://khaledfouadkhaled.github.io/accessibility.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/accessibility.html,https://khaledfouadkhaled.github.io/accessibility.html,Index
https://khaledfouadkhaled.github.io/blog.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/blog.html,https://khaledfouadkhaled.github.io/blog.html,Index
https://khaledfouadkhaled.github.io/collaboration.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/collaboration.html,https://khaledfouadkhaled.github.io/collaboration.html,Index
https://khaledfouadkhaled.github.io/contact.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/contact.html,https://khaledfouadkhaled.github.io/contact.html,Index
https://khaledfouadkhaled.github.io/index.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/index.html,https://khaledfouadkhaled.github.io/index.html,Index
https://khaledfouadkhaled.github.io/knowledge-hub.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/knowledge-hub.html,https://khaledfouadkhaled.github.io/knowledge-hub.html,Index
https://khaledfouadkhaled.github.io/privacy.html,Bilingual,Public page,Keep,https://khaledfouadkhaled.github.io/privacy.html,https://khaledfouadkhaled.github.io/privacy.html,Index
https://khaledfouadkhaled.github.io/auth.html,Bilingual,Account/private,New,https://khaledfouadkhaled.github.io/auth.html,https://khaledfouadkhaled.github.io/auth.html,Noindex
https://khaledfouadkhaled.github.io/knowledge-dashboard.html,Bilingual,Account/private,New,https://khaledfouadkhaled.github.io/knowledge-dashboard.html,https://khaledfouadkhaled.github.io/knowledge-dashboard.html,Noindex
https://khaledfouadkhaled.github.io/knowledge-admin.html,Bilingual,Account/private,New,https://khaledfouadkhaled.github.io/knowledge-admin.html,https://khaledfouadkhaled.github.io/knowledge-admin.html,Noindexhttps://khaledfouadkhaled.github.io/terms.html,Bilingual,Public page,New,https://khaledfouadkhaled.github.io/terms.html,https://khaledfouadkhaled.github.io/terms.html,Index
