n,x_over_L,offset_wavefunction
1,0.0,1.0
1,0.02004008016032064,1.0346039023565874
1,0.04008016032064128,1.0690706911942367
1,0.06012024048096192,1.1032637962887188
1,0.08016032064128256,1.1370477318524888
1,0.1002004008016032,1.170288633379717
1,0.12024048096192384,1.2028547880672025
1,0.1402805611222445,1.2346171567094397
1,0.16032064128256512,1.2654498849998983
1,0.18036072144288576,1.2952308022125478
1,0.2004008016032064,1.3238419052876713
1,0.22044088176352702,1.3511698264038334
1,0.24048096192384769,1.3771062821833127
1,0.2605210420841683,1.4015485027510801
1,0.280561122244489,1.4243996389472295
1,0.3006012024048096,1.4455691460793356
1,0.32064128256513025,1.4649731426941695
1,0.34068136272545085,1.4825347429471833
1,0.3607214428857715,1.4981843612527963
1,0.3807615230460922,1.5118599880083394
1,0.4008016032064128,1.523507435299143
1,0.42084168336673344,1.5330805516111887
1,0.44088176352705405,1.540541404700558
1,0.4609218436873747,1.5458604318950746
1,0.48096192384769537,1.5490165572325985
1,0.501002004008016,1.5499972749718185
1,0.5210420841683366,1.5487986991446454
1,0.5410821643286573,1.5454255789538625
1,0.561122244488978,1.5398912799550186
1,0.5811623246492985,1.5322177310971319
1,0.6012024048096192,1.5224353378320434
1,0.6212424849699398,1.5105828616367225
1,0.6412825651302605,1.4967072664258891
1,0.6613226452905812,1.4808635324635357
1,0.6813627254509017,1.4631144385106905
1,0.7014028056112224,1.4435303130726407
1,0.721442885771543,1.4221887557312618
1,0.7414829659318637,1.399174329666641
1,0.7615230460921844,1.3745782265863364
1,0.7815631262525049,1.348497905389947
1,0.8016032064128256,1.3210367060007397
1,0.8216432865731462,1.2923034398944764
1,0.8416833667334669,1.2624119589479132
1,0.8617234468937875,1.2314807043153642
1,0.8817635270541081,1.1996322371208359
1,0.9018036072144288,1.1669927528253146
1,0.9218436873747494,1.1336915811934607
1,0.9418837675350701,1.0998606738410237
1,0.9619238476953907,1.065634081393513
1,0.9819639278557113,1.0311474223278105
2,0.0,4.0
2,0.02004008016032064,4.069070691194237
2,0.04008016032064128,4.137047731852489
2,0.06012024048096192,4.202854788067202
2,0.08016032064128256,4.2654498849998985
2,0.1002004008016032,4.323841905287671
2,0.12024048096192384,4.377106282183313
2,0.1402805611222445,4.4243996389472295
2,0.16032064128256512,4.46497314269417
2,0.18036072144288576,4.498184361252797
