r_over_a0,P1s,P2s
0.0,0.0,0.0
0.3006012024048096,0.36601556986064354,0.12646606501531255
0.6012024048096192,0.8025288699796946,0.25374862308790835
0.9018036072144289,0.9897928123940388,0.26054757817667856
1.2024048096192383,0.9645458616808109,0.1808923070364945
1.503006012024048,0.8261216830639763,0.08125084713446463
1.8036072144288577,0.6520901293075954,0.013526633903639146
2.1042084168336674,0.48652181550242524,0.003837853633391899
2.4048096192384767,0.34832714944778104,0.05600398232624001
2.7054108216432864,0.24165371926468593,0.15935184617823936
3.006012024048096,0.16353457171784094,0.2962407130415936
3.306613226452906,0.10846660858095056,0.44768075826837256
3.6072144288577155,0.07075779589415163,0.5968286350396275
3.9078156312625247,0.04551972417189313,0.7307176222835897
4.208416833667335,0.02893810589851449,0.8407343593539462
4.509018036072144,0.018209484923406218,0.9223192407274662
4.809619238476953,0.011356806382121663,0.9742639700896981
5.110220440881763,0.0070277323362187534,0.997866590945545
5.410821643286573,0.0043188039786416854,0.9961067524582679
5.7114228456913825,0.00263770849221532,0.9729297549709943
6.012024048096192,0.001602067093450796,0.9326764545478022
6.312625250501002,0.0009681895956144939,0.8796634663797868
6.613226452905812,0.0005824629380766394,0.8178995868667569
6.913827655310621,0.0003489632717508457,0.75091563826038
7.214428857715431,0.00020828003621187207,0.6816825384838194
7.51503006012024,0.000123881453279747,0.6125937120459237
7.8156312625250495,7.344700368776742e-05,0.545491172454816
8.11623246492986,4.341662182051724e-05,0.481718536414952
8.41683366733467,2.5594442615120244e-05,0.42218815617540506
8.71743486973948,1.5049661170977486e-05,0.3674530868554157
9.018036072144287,8.828244428919776e-06,0.31777756570746574
9.318637274549097,5.167212716634984e-06,0.27320203054086195
9.619238476953907,3.0181027593290366e-06,0.23360048262742691
9.919839679358716,1.759393805638962e-06,0.1987292813978477
10.220440881763526,1.0237504979636655e-06,0.1682673337487818
10.521042084168336,5.946665275406079e-07,0.1418481983364367
10.821643286573146,3.4486055248934694e-07,0.1190849443776021
11.122244488977955,1.996839133719313e-07,0.09958875236729926
11.422845691382765,1.1545372179393357e-07,0.08298227481312098
11.723446893787575,6.666088442927165e-08,0.06890873037817406
12.024048096192384,3.843819211760843e-08,0.05703761583807867
12.324649298597194,2.2136644822281193e-08,0.047067809282254354
12.625250501002004,1.2733382273887025e-08,0.038728720304006536
12.925851703406813,7.316160441040513e-09,0.03178002843536789
13.226452905811623,4.1990667242546725e-09,0.02601044572304369
13.527054108216433,2.4075402881424753e-09,0.02123584620214521
13.827655310621243,1.3790033217362023e-09,0.017297025245900453
14.128256513026052,7.891262275130209e-10,0.01405728522100695
14.428857715430862,4.5116390798188333e-10,0.01139998965515414
14.729458917835672,2.5771823491652844e-10,0.009226184903399675
