Tr,Vr,Pr
0.85,0.36,61.85185185185178
0.85,0.4329458917835671,6.74988986048643
0.85,0.5058917835671343,1.4135300294519535
0.85,0.5788376753507014,0.27888896513761097
0.85,0.6517835671342685,0.056020812362583605
0.85,0.7247294589178357,0.07948121464945945
0.85,0.7976753507014028,0.16659813057322204
0.85,0.87062124248497,0.26083788495829685
0.85,0.9435671342685371,0.34484432165967016
0.85,1.0165130260521043,0.41449612462019836
0.85,1.0894589178356715,0.4701896201294722
0.85,1.1624048096192385,0.5137087977227961
0.85,1.2353507014028056,0.5470795350794053
0.85,1.3082965931863728,0.5721688982541113
0.85,1.38124248496994,0.59057089351199
0.85,1.4541883767535069,0.6036004587177373
0.85,1.5271342685370741,0.6123246615624711
0.85,1.6000801603206414,0.6176028590153857
0.85,1.6730260521042086,0.6201251035242037
0.85,1.7459719438877754,0.6204453078566053
0.85,1.8189178356713427,0.6190085919896293
0.85,1.89186372745491,0.61617332042986
0.85,1.9648096192384772,0.6122286571150263
0.85,2.037755511022044,0.6074084757172037
0.85,2.1107014028056112,0.6019023635008479
0.85,2.1836472945891785,0.595864330337446
0.85,2.2565931863727458,0.5894197140854547
0.85,2.3295390781563126,0.5826706703673933
0.85,2.40248496993988,0.5757005506305067
0.85,2.475430861723447,0.5685774055258139
0.85,2.548376753507014,0.5613567982810492
0.85,2.621322645290581,0.5540840720432582
0.85,2.6942685370741484,0.54679618364129
0.85,2.767214428857715,0.539523191822729
0.85,2.8401603206412824,0.5322894691285045
0.85,2.9131062124248497,0.5251146919135458
0.85,2.986052104208417,0.5180146516249232
0.85,3.0589979959919837,0.5110019215592837
0.85,3.131943887775551,0.5040864063646144
0.85,3.2048897795591182,0.4972757960883133
0.85,3.2778356713426855,0.4905759422680827
0.85,3.3507815631262523,0.48399117015671383
0.85,3.4237274549098196,0.4775245384684718
0.85,3.496673346693387,0.47117805588103945
0.85,3.569619238476954,0.4649528618050115
0.85,3.642565130260521,0.45884937755137634
0.85,3.715511022044088,0.45286743291521314
0.85,3.7884569138276554,0.4470063722954825
0.85,3.8614028056112226,0.441265143742825
0.85,3.9343486973947894,0.435642373735549
1,0.36,76.85185185185176
1,0.4329458917835671,10.765447800400594
1,0.5058917835671343,3.7315851548777825
1,0.5788376753507014,1.9081880509016518
1,0.6517835671342685,1.3121040478047714
1,0.7247294589178357,1.1014637378608194
1,0.7976753507014028,1.028032127580933
1,0.87062124248497,1.0053176939895274
1,0.9435671342685371,1.0003307915782265
1,1.0165130260521043,0.9999936214912872
1,1.0894589178356715,0.9992022712002191
1,1.1624048096192385,0.9961762464787589
1,1.2353507014028056,0.9905299764562643
1,1.3082965931863728,0.9824407684580143
1,1.38124248496994,0.9722833724757309
1,1.4541883767535069,0.9604708697027666
1,1.5271342685370741,0.9473888989947643
1,1.6000801603206414,0.9333723493967561
1,1.6730260521042086,0.9187010339562114
1,1.7459719438877754,0.9036033618779417
1,1.8189178356713427,0.8882628817122813
1,1.89186372745491,0.8728253571875065
1,1.9648096192384772,0.8574053743347191
1,2.037755511022044,0.8420921152732331
1,2.1107014028056112,0.8269542291612707
1,2.1836472945891785,0.812043858988093
1,2.2565931863727458,0.79739993026262
1,2.3295390781563126,0.7830508170718963
1,2.40248496993988,0.7690164937075491
1,2.475430861723447,0.7553102665177309
1,2.548376753507014,0.7419401657929314
1,2.621322645290581,0.7289100635413663
1,2.6942685370741484,0.7162205707935569
1,2.767214428857715,0.7038697577809232
1,2.8401603206412824,0.6918537318499439
1,2.9131062124248497,0.6801671010778992
1,2.986052104208417,0.6688033459982989
1,3.0589979959919837,0.6577551173870619
1,3.131943887775551,0.6470144744965245
1,3.2048897795591182,0.6365730752783978
1,3.2778356713426855,0.6264223278649175
1,3.3507815631262523,0.6165535107631179
1,3.4237274549098196,0.6069578677669207
1,3.496673346693387,0.5976266824310277
1,3.569619238476954,0.5885513360202397
1,3.642565130260521,0.579723352100824
1,3.715511022044088,0.5711344303397261
1,3.7884569138276554,0.5627764715932833
1,3.8614028056112226,0.5546415959762729
1,3.9343486973947894,0.5467221552860655
1.25,0.36,101.85185185185173
1.25,0.4329458917835671,17.458044366924202
1.25,0.5058917835671343,7.59501036392083
1.25,0.5788376753507014,4.623686527175051
1.25,0.6517835671342685,3.4055761068750865
1.25,0.7247294589178357,2.8047679432130854
1.25,0.7976753507014028,2.463755455927118
1.25,0.87062124248497,2.246117375708246
1.25,0.9435671342685371,2.0928082414424884
1.25,1.0165130260521043,1.9758227829431014
1.25,1.0894589178356715,1.8808900229847971
1.25,1.1624048096192385,1.8002886610720292
1.25,1.2353507014028056,1.7296140454176956
1.25,1.3082965931863728,1.6662272187978517
1.25,1.38124248496994,1.6084708374152992
1.25,1.4541883767535069,1.5552548880111483
1.25,1.5271342685370741,1.5058292947152532
1.25,1.6000801603206414,1.4596548333657065
1.25,1.6730260521042086,1.4163275846762244
1.25,1.7459719438877754,1.375533451913502
1.25,1.8189178356713427,1.3370200312500347
1.25,1.89186372745491,1.3005787517835836
1.25,1.9648096192384772,1.2660332363675404
1.25,2.037755511022044,1.2332315145332822
1.25,2.1107014028056112,1.2020406719286418
1.25,2.1836472945891785,1.172343073405838
1.25,2.2565931863727458,1.1440336238912285
1.25,2.3295390781563126,1.1170177282460676
1.25,2.40248496993988,1.0912097321692862
1.25,2.475430861723447,1.0665317015042592
1.25,2.548376753507014,1.0429124449794016
1.25,2.621322645290581,1.020286716038213
1.25,2.6942685370741484,0.9985945493806685
1.25,2.767214428857715,0.9777807010445805
1.25,2.8401603206412824,0.9577941697190094
1.25,2.9131062124248497,0.9385877830184884
1.25,2.986052104208417,0.920117836620592
1.25,3.0589979959919837,0.9023437771000257
1.25,3.131943887775551,0.8852279213830413
1.25,3.2048897795591182,0.8687352072618719
1.25,3.2778356713426855,0.8528329705263087
1.25,3.3507815631262523,0.8374907451071247
1.25,3.4237274549098196,0.8226800832643355
1.25,3.496673346693387,0.8083743933476746
1.25,3.569619238476954,0.7945487930456199
1.25,3.642565130260521,0.7811799763499035
1.25,3.715511022044088,0.7682460927139144
1.25,3.7884569138276554,0.7557266370896174
1.25,3.8614028056112226,0.7436023496986862
1.25,3.9343486973947894,0.7318551245369262
